"id","codi_estacio","codi_variable","data_lectura","data_extrem","valor_lectura","codi_estat","codi_base"
"X4400101091200","X4","40","2009-01-01T12:00:00.000","2009-01-01T12:09:00.000","14.4","V","HO"
"X4420101091200","X4","42","2009-01-01T12:00:00.000","2009-01-01T12:58:00.000","14","V","HO"
"X4440101091200","X4","44","2009-01-01T12:00:00.000","2009-01-01T12:12:00.000","62","V","HO"
"X4500101091200","X4","50","2009-01-01T12:00:00.000","2009-01-01T12:32:00.000","4","V","HO"
"X4360101091200","X4","36","2009-01-01T12:00:00.000",,"273","V","HO"
"X4330101091300","X4","33","2009-01-01T13:00:00.000",,"69","V","HO"
"X4340101091300","X4","34","2009-01-01T13:00:00.000",,"1015","V","HO"
"X4320101091300","X4","32","2009-01-01T13:00:00.000",,"13.8","V","HO"
"X4350101091300","X4","35","2009-01-01T13:00:00.000",,"0","V","HO"
"X4360101091300","X4","36","2009-01-01T13:00:00.000",,"204","V","HO"
"X4400101091300","X4","40","2009-01-01T13:00:00.000","2009-01-01T13:18:00.000","14.1","V","HO"
"X4420101091300","X4","42","2009-01-01T13:00:00.000","2009-01-01T13:56:00.000","13.5","V","HO"
"X4440101091300","X4","44","2009-01-01T13:00:00.000","2009-01-01T13:03:00.000","66","V","HO"
"X4500101091300","X4","50","2009-01-01T13:00:00.000","2009-01-01T13:41:00.000","5.1","V","HO"
"X4510101091300","X4","51","2009-01-01T13:00:00.000",,"74","V","HO"
"X4440101091400","X4","44","2009-01-01T14:00:00.000","2009-01-01T14:47:00.000","72","V","HO"
"X4500101091400","X4","50","2009-01-01T14:00:00.000","2009-01-01T14:02:00.000","5.2","V","HO"
"X4510101091400","X4","51","2009-01-01T14:00:00.000",,"80","V","HO"
"X4020101091400","X4","2","2009-01-01T14:00:00.000","2009-01-01T14:03:00.000","1015","V","HO"
"X4320101091400","X4","32","2009-01-01T14:00:00.000",,"13.5","V","HO"
"X4330101091400","X4","33","2009-01-01T14:00:00.000",,"73","V","HO"
"X4340101091400","X4","34","2009-01-01T14:00:00.000",,"1015","V","HO"
"X4350101091400","X4","35","2009-01-01T14:00:00.000",,"0","V","HO"
"X4360101091400","X4","36","2009-01-01T14:00:00.000",,"133","V","HO"
"X4400101091400","X4","40","2009-01-01T14:00:00.000","2009-01-01T14:24:00.000","13.6","V","HO"
"X4420101091400","X4","42","2009-01-01T14:00:00.000","2009-01-01T14:15:00.000","13.4","V","HO"
"X4320101091500","X4","32","2009-01-01T15:00:00.000",,"13.3","V","HO"
"X4330101091500","X4","33","2009-01-01T15:00:00.000",,"74","V","HO"
"X4340101091500","X4","34","2009-01-01T15:00:00.000",,"1015","V","HO"
"X4350101091500","X4","35","2009-01-01T15:00:00.000",,"0","V","HO"
"X4510101091500","X4","51","2009-01-01T15:00:00.000",,"81","V","HO"
"X4500101091500","X4","50","2009-01-01T15:00:00.000","2009-01-01T15:02:00.000","3.4","V","HO"
"X4440101091500","X4","44","2009-01-01T15:00:00.000","2009-01-01T15:01:00.000","73","V","HO"
"X4420101091500","X4","42","2009-01-01T15:00:00.000","2009-01-01T15:58:00.000","13.1","V","HO"
"X4400101091500","X4","40","2009-01-01T15:00:00.000","2009-01-01T15:00:00.000","13.5","V","HO"
"X4360101091500","X4","36","2009-01-01T15:00:00.000",,"54","V","HO"
"X4320101091600","X4","32","2009-01-01T16:00:00.000",,"12.9","V","HO"
"X4330101091600","X4","33","2009-01-01T16:00:00.000",,"74","V","HO"
"X4340101091600","X4","34","2009-01-01T16:00:00.000",,"1015","V","HO"
"X4350101091600","X4","35","2009-01-01T16:00:00.000",,"0","V","HO"
"X4510101091600","X4","51","2009-01-01T16:00:00.000",,"81","V","HO"
"X4400101091600","X4","40","2009-01-01T16:00:00.000","2009-01-01T16:00:00.000","13","V","HO"
"X4420101091600","X4","42","2009-01-01T16:00:00.000","2009-01-01T16:54:00.000","12.7","V","HO"
"X4440101091600","X4","44","2009-01-01T16:00:00.000","2009-01-01T16:11:00.000","73","V","HO"
"X4500101091600","X4","50","2009-01-01T16:00:00.000","2009-01-01T16:23:00.000","2.1","V","HO"
"X4360101091600","X4","36","2009-01-01T16:00:00.000",,"4","V","HO"
"X4360101091700","X4","36","2009-01-01T17:00:00.000",,"0","V","HO"
"X4400101091700","X4","40","2009-01-01T17:00:00.000","2009-01-01T17:57:00.000","12.7","V","HO"
"X4420101091700","X4","42","2009-01-01T17:00:00.000","2009-01-01T17:28:00.000","12.5","V","HO"
"X4440101091700","X4","44","2009-01-01T17:00:00.000","2009-01-01T17:02:00.000","75","V","HO"
"X4350101091700","X4","35","2009-01-01T17:00:00.000",,"0","V","HO"
"X4510101091700","X4","51","2009-01-01T17:00:00.000",,"47","V","HO"
"X4320101091700","X4","32","2009-01-01T17:00:00.000",,"12.6","V","HO"
"X4330101091700","X4","33","2009-01-01T17:00:00.000",,"75","V","HO"
"X4340101091700","X4","34","2009-01-01T17:00:00.000",,"1015","V","HO"
"X4500101091700","X4","50","2009-01-01T17:00:00.000","2009-01-01T17:44:00.000","1.9","V","HO"
"X4320101091800","X4","32","2009-01-01T18:00:00.000",,"12.8","V","HO"
"X4330101091800","X4","33","2009-01-01T18:00:00.000",,"74","V","HO"
"X4340101091800","X4","34","2009-01-01T18:00:00.000",,"1016","V","HO"
"X4350101091800","X4","35","2009-01-01T18:00:00.000",,"0","V","HO"
"X4510101091800","X4","51","2009-01-01T18:00:00.000",,"85","V","HO"
"X4400101091800","X4","40","2009-01-01T18:00:00.000","2009-01-01T18:52:00.000","12.9","V","HO"
"X4420101091800","X4","42","2009-01-01T18:00:00.000","2009-01-01T18:00:00.000","12.7","V","HO"
"X4440101091800","X4","44","2009-01-01T18:00:00.000","2009-01-01T18:40:00.000","73","V","HO"
"X4500101091800","X4","50","2009-01-01T18:00:00.000","2009-01-01T18:37:00.000","1.7","V","HO"
"X4360101091800","X4","36","2009-01-01T18:00:00.000",,"0","V","HO"
"X4420101091900","X4","42","2009-01-01T19:00:00.000","2009-01-01T19:07:00.000","12.9","V","HO"
